nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
SEXIT00101,1255,190,1,Faulkner,EXIT,Atrium Main Entrance,main_atr_entr
SRETL00101,1255,250,1,Faulkner,RETL,Atrium Cafe,atr_cafe
SRETL00201,1040,250,1,Faulkner,RETL,Starbucks,strb
SSERV00101,1255,48,1,Faulkner,SERV,Valet Parking,valt_park
SHALL00101,1255,305,1,Faulkner,HALL,Outside Atrium Stairs,atr_stair_out
SHALL00201,1311,305,1,Faulkner,HALL,Atrium Lobby Stairs ,atr_loby_stair
SHALL00301,1255,418,1,Faulkner,HALL,Between Elevator and Stairs Atrium,btwn_elev
SELEV00X01,1188,418,1,Faulkner,ELEV,Atrium Elevators,1atr_elev
SSTAI00101,1328,418,1,Faulkner,STAI,Atrium Stairs,1atr_stai
SHALL00401,1255,519,1,Faulkner,HALL,Big Intersection Below Atrium,intr_blw_atr
SHALL00501,1199,519,1,Faulkner,HALL,Outside Mens Bathroom,out_mens_bath
SHALL00601,1121,519,1,Faulkner,HALL,Outside Female Bathroom,out_feml_bath
SHALL00701,1288,519,1,Faulkner,HALL,Outside East Female Bathroom,out_east_bath
SREST00101,1199,477,1,Faulkner,REST,Inside Mens Bathroom,in_men_bath
SREST00201,1121,477,1,Faulkner,REST,Inside Female Bathroom,in_fem_bath
SREST00301,1288,490,1,Faulkner,REST,Inside East Female Bathroom,in_east_fem_bath
SHALL00801,1007,519,1,Faulkner,HALL,Outside Admitting,out_adm
SDEPT00101,1007,463,1,Faulkner,DEPT,Inside Admitting,in_adm
SHALL00901,943,519,1,Faulkner,HALL,Outside Family Center,out_fam_cent
SDEPT00201,943,467,1,Faulkner,DEPT,Inside Talclet Family Center,in_talc_fam_cent
SHALL01001,888,519,1,Faulkner,HALL,Outside Emergency Dept,out_emer_dept
SDEPT00301,888,547,1,Faulkner,DEPT,Inside Emergency Dept,in_emer_dept
SHALL01101,868,519,1,Faulkner,HALL,Emergency Elbow Hallway,emer_elb_hall
SHALL01201,868,367,1,Faulkner,HALL,Emrgency Entrance,emerg_ent
SHALL01301,1111,519,1,Faulkner,HALL,Outside Blood Drawing Lobby,blood_lobb
SHALL01401,1111,586,1,Faulkner,HALL,Outside Blood Drawing Lab,out_blood lab
SLABS00101,1039,586,1,Faulkner,LABS,Blood Drawing Lab,blood_lab
SDEPT00401,1039,672,1,Faulkner,DEPT,Audiology,audio
SDEPT00501,1190,586,1,Faulkner,DEPT,Cardiac Rehab,cardi_rehab
SHALL01501,1131,586,1,Faulkner,HALL,Hall Sixty Eight,hall_six_eight
SLABS00201,1131,750,1,Faulkner,LABS,Special Testing,spe_test
SHALL01601,1255,554,1,Faulkner,HALL,Outside Preadmittance Screening,out_pre_scrn
SDEPT00601,1300,554,1,Faulkner,DEPT,Pre Admittance Screening,pre_adm_scrn
SHALL01701,1255,830,1,Faulkner,HALL,Middle Intersection,mdi_intr
